Plant Code,Utility Name,Plant Name,State,Latitude,Longitude,BA Code,BA Name,Fuel Type,Prime Mover,Net Generation (MWh)
1024,Crawfordsville Energy LLC,Crawfordsville Power Plant,IN,40.048889,-86.8992,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,IC,0.0
1024,Crawfordsville Energy LLC,Crawfordsville Power Plant,IN,40.048889,-86.8992,MISO,"Midcontinent Independent Transmission System Operator, Inc..",KER,ST,0.0
1024,Crawfordsville Energy LLC,Crawfordsville Power Plant,IN,40.048889,-86.8992,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,ST,0.0
1024,Crawfordsville Energy LLC,Crawfordsville Power Plant,IN,40.048889,-86.8992,MISO,"Midcontinent Independent Transmission System Operator, Inc..",WDS,ST,0.0
1037,City of Peru - (IN),Peru (IN),IN,40.7551,-86.0575,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,IC,0.0
1037,City of Peru - (IN),Peru (IN),IN,40.7551,-86.0575,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,IC,2.0
1038,City of Rensselaer - (IN),Rensselaer City Light Plant,IN,40.939528,-87.154472,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,IC,0.0
1038,City of Rensselaer - (IN),Rensselaer City Light Plant,IN,40.939528,-87.154472,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,IC,0.0
1040,City of Richmond - (IN),Whitewater Valley,IN,39.8028,-84.8953,PJM,"PJM Interconnection, LLC",BIT,ST,34320.36
1040,City of Richmond - (IN),Whitewater Valley,IN,39.8028,-84.8953,PJM,"PJM Interconnection, LLC",DFO,ST,-1802.3600000000001
1043,"Hoosier Energy R E C, Inc",Frank E Ratts,IN,38.5201,-87.2662,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1353,Kentucky Power Co,Big Sandy,KY,38.1707,-82.6176,PJM,"PJM Interconnection, LLC",NG,ST,2344784.0
1354,Kentucky Utilities Co,Dix Dam,KY,37.7864,-84.7028,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,WAT,HY,88090.0
